-2, -2, 0.00031648
-2, -1.92, 0.000316812
-2, -1.84, 0.000317538
-2, -1.76, 0.000319137
-2, -1.68, 0.000322697
-2, -1.6, 0.000330834
-2, -1.52, 0.00035057
-2, -1.44, 0.00040551
-2, -1.36, 0.000621626
-2, -1.28, 0.00260405
-2, -1.2, 0.0314256
-2, -1.12, 0.18847
-2, -1.04, 0.50641
-2, -0.96, 0.748092
-2, -0.88, 0.80126
-2, -0.8, 0.827847
-2, -0.72, 0.852065
-2, -0.64, 0.872441
-2, -0.56, 0.886123
-2, -0.48, 0.893684
-2, -0.4, 0.897409
-2, -0.32, 0.899157
-2, -0.24, 0.899965
-2, -0.16, 0.900336
-2, -0.08, 0.900507
-2, 0, 0.900585
-2, 0.08, 0.900621
-2, 0.16, 0.900638
-2, 0.24, 0.900645
-2, 0.32, 0.900649
-2, 0.4, 0.90065
-2, 0.48, 0.900649
-2, 0.56, 0.900645
-2, 0.64, 0.900633
-2, 0.72, 0.900592
-2, 0.8, 0.900463
-2, 0.88, 0.900061
-2, 0.96, 0.898798
-2, 1.04, 0.89485
-2, 1.12, 0.883047
-2, 1.2, 0.85374
-2, 1.28, 0.801423
-2, 1.36, 0.756243
-2, 1.44, 0.647308
-2, 1.52, 0.163013
-2, 1.6, 0.00421314
-2, 1.68, 0.000241846
-2, 1.76, 0.000192459
-2, 1.84, 0.000184282
-2, 1.92, 0.000182102

-1.92, -2, 0.000316506
-1.92, -1.92, 0.000316869
-1.92, -1.84, 0.000317663
-1.92, -1.76, 0.000319413
-1.92, -1.68, 0.000323317
-1.92, -1.6, 0.000332282
-1.92, -1.52, 0.000354252
-1.92, -1.44, 0.000416956
-1.92, -1.36, 0.000680188
-1.92, -1.28, 0.00339706
-1.92, -1.2, 0.0421274
-1.92, -1.12, 0.210017
-1.92, -1.04, 0.536473
-1.92, -0.96, 0.759647
-1.92, -0.88, 0.804522
-1.92, -0.8, 0.830702
-1.92, -0.72, 0.854648
-1.92, -0.64, 0.874355
-1.92, -0.56, 0.887253
-1.92, -0.48, 0.894259
-1.92, -0.4, 0.897682
-1.92, -0.32, 0.899283
-1.92, -0.24, 0.900023
-1.92, -0.16, 0.900363
-1.92, -0.08, 0.900519
-1.92, 0, 0.900591
-1.92, 0.08, 0.900624
-1.92, 0.16, 0.900639
-1.92, 0.24, 0.900646
-1.92, 0.32, 0.900649
-1.92, 0.4, 0.90065
-1.92, 0.48, 0.900649
-1.92, 0.56, 0.900645
-1.92, 0.64, 0.900632
-1.92, 0.72, 0.900591
-1.92, 0.8, 0.90046
-1.92, 0.88, 0.90005
-1.92, 0.96, 0.898765
-1.92, 1.04, 0.894748
-1.92, 1.12, 0.882756
-1.92, 1.2, 0.853108
-1.92, 1.28, 0.800502
-1.92, 1.36, 0.755792
-1.92, 1.44, 0.642283
-1.92, 1.52, 0.1577
-1.92, 1.6, 0.00385232
-1.92, 1.68, 0.000239838
-1.92, 1.76, 0.000192221
-1.92, 1.84, 0.000184224
-1.92, 1.92, 0.000182085

-1.84, -2, 0.000316534
-1.84, -1.92, 0.000316931
-1.84, -1.84, 0.0003178
-1.84, -1.76, 0.000319715
-1.84, -1.68, 0.000323998
